0	0   0	86	1	2
1	1	1	0	-3.2	0
1	1	1	0	-3.2	0
1	1	1	8	-3.2	2
1	1	1	8	-3	1
1	1	1	4	-1	0
1	1	1	4	-3	2
0	1	1	3	-1	0
0	1	1	3	-3	1
0	1	1	3	-3	0
0	1	1	3	-3	1
0	1	1	3	-3	0
1	1	1	3	-3	1
1	1	1	2	-1	0
1	1	1	3	-3	2
1	1	1	4	-3	0
1	1	1	3	-1	1
1	1	1	3	-3	0
1	1	1	3	-3	2
1	1	1	3	-3	0
1	1	1	3	-3	2
1	1	1	2	-1	0
1	1	1	2	-3	2
1	1	1	3	-3	0
1	1	1	2	-1	2
1	1	1	2	-3	0
1	1	0	3	-3	2
1	1	0	3	-3	0
1	1	1	3	-3	2
1	1	1	2	-1	0
1	1	1	3	-3	2
1	1	1	3	-3	0
1	1	1	4	-3	2
1	1	1	4	-3	0
1	1	1	4	-3	2
1	1	1	4	-3	0
1	1	1	8	-3	2
1	1	1	10	-3	1
1	1	1	7	-1	1
1	1	1	9	-3	1
1	0	1	10	-3	1
1	0	1	8	-1	1
1	0	1	13	-3	1
1	1	1	6	-1	1
1	1	1	4	-1	2
1	1	1	3	-1	0
1	1	1	3	-3	2
1	1	1	3	-3	0
1	1	1	3	-3	2
1	1	1	2	-1	0
1	1	1	3	-3	2
1	1	1	2	-1	0
1	1	1	2	-3	2
1	1	1	2	-3	0
1	1	1	2	-3	2
1	1	1	2	-3	0
1	1	0	3	-3	2
1	1	0	3	-3	0
1	1	0	3	-3	2
1	1	0	5	-3	0
1	0	0	0	-1	0
1	0	0	0	-3.2	0
0	0	0	86	-1	1
0	0	0	210	-0.8	1
0	0	0	212	-0.8	1
0	0	0	211	1.2	1
0	0	0	206	1.2	1
0	0	0	203	1.2	1
0	0	1	81	0	1
0	0	1	83	-2	1
0	0	1	79	0	1
0	0	1	0	-1	0
0	0	1	0	-3	0
0	0	1	0	-3.2	0
0	0	1	0	-3.2	0
0	0	1	0	-3.2	0
0	0	1	0	-3.2	0
0	1	1	7	-3.2	2
0	1	1	0	-1	0
0	1	1	5	-3	2
0	1	1	4	-1	0
0	1	1	4	-3	2
0	1	1	4	-3	0
0	1	1	4	-3	1
0	1	1	3	-1	0
0	1	1	4	-3	1
0	1	1	7	-3	1
0	0	1	0	-1	0
0	0	1	0	-3	0
0	0	1	189	-2.2	2
0	0	1	187	0	1
0	0	1	187	-2	1
0	0	1	184	0	2
0	0	1	183	0	1
0	0	1	181	0	2
0	0	1	62	0	1
0	0	1	181	-2	2
0	0	1	182	-2	2
0	0	1	0	-1.2	0
0	0	1	0	-3	0
0	0	1	0	-3.2	0
0	1	1	0	-3.2	0
1	1	0	6	-3.2	2
1	0	0	6	-3	1
1	0	0	33	-2	1
1	0	0	30	0	1
0	0	0	28	1.2	1
0	0	0	27	1.2	1
0	0	0	26	1.2	1
0	0	0	26	-0.8	1
0	0	0	26	-0.8	1
0	0	0	26	-0.8	1
0	0	0	28	-0.8	1
0	0	0	28	-0.8	1
0	0	0	27	1.2	1
0	0	0	27	-0.8	1
0	0	0	25	1.2	1
0	0	0	25	-0.8	1
0	0	0	24	1.2	1
0	0	0	24	-0.8	1
0	0	0	20	1.2	1
0	0	0	17	1.2	1
0	0	0	17	-0.8	1
0	0	0	15	0.2	1
0	0	0	13	0.2	1
0	0	0	13	-1.8	1
0	0	0	12	0.2	1
1	1	0	0	-1	0
1	1	0	18	-2	1
1	1	0	3	-1	0
1	1	0	4	-3	2
1	1	0	2	-1	0
1	1	0	2	-3	2
1	1	0	2	-3	0
1	1	0	2	-3	2
1	1	1	4	-3	0
1	1	1	20	-2	1
1	1	1	7	-1	1
1	1	1	4	-1	2
1	1	1	2	-1	0
1	1	0	2	-3	2
1	1	0	4	-3	0
1	1	0	6	-3	2
1	1	0	3	-1	0
1	1	0	4	-3	2
1	0	0	0	-1	0
1	0	0	0	-3	0
1	0	0	0	-3.2	0
1	0	0	192	-2.2	2
1	0	0	186	0	1
0	0	0	186	-0.8	1
0	0	0	186	-0.8	1
0	0	0	187	-0.8	1
0	0	0	184	1.2	1
0	0	0	183	1.2	1
0	0	0	182	1.2	1
0	0	0	179	1.2	1
0	0	0	177	1.2	1
0	0	0	175	1.2	1
0	0	0	171	1.2	1
0	0	0	169	1.2	1
0	0	0	165	1.2	1
0	0	0	163	1.2	1
0	0	0	160	1.2	1
0	0	0	158	1.2	1
0	0	0	156	1.2	1
0	0	0	155	1.2	1
0	0	0	151	1.2	1
0	0	0	149	1.2	1
0	0	0	146	1.2	1
0	0	0	143	1.2	1
0	0	1	142	0	1
0	0	1	140	0	1
0	0	1	138	0	1
0	0	1	137	0	1
0	0	1	133	0	1
0	0	1	130	0	1
0	0	1	128	0	1
0	0	0	127	1.2	1
0	0	0	125	1.2	1
0	0	0	123	1.2	1
0	0	0	138	-0.8	1
