2019-01-11 17:17:05.628200	S_L		S_M		S_R		Dis_1		Dis_2		Act
2019-01-11 17:18:01.555247	0		0		0		116		175		w
2019-01-11 17:18:01.714242	0		0		0		116		162		w
2019-01-11 17:18:01.870356	0		0		0		122		114		w
2019-01-11 17:18:02.028443	0		0		0		124		145		w
2019-01-11 17:18:02.186459	0		1		0		132		137		w
2019-01-11 17:18:02.342431	0		1		0		102		131		a
2019-01-11 17:18:02.501549	0		0		0		192		89		a
2019-01-11 17:18:02.656543	0		0		0		136		82		a
2019-01-11 17:18:02.811130	0		0		0		134		77		a
2019-01-11 17:18:02.966584	0		0		0		140		86		a
2019-01-11 17:18:03.118685	0		0		0		88		81		a
2019-01-11 17:18:03.271601	0		0		0		88		85		a
2019-01-11 17:18:03.427261	0		0		0		84		134		w
2019-01-11 17:18:03.584880	1		0		0		137		126		w
2019-01-11 17:18:03.742032	0		0		0		136		118		w
2019-01-11 17:18:03.895835	0		0		0		87		110		w
2019-01-11 17:18:04.048840	0		0		0		82		100		a
2019-01-11 17:18:04.201684	0		0		0		78		94		a
2019-01-11 17:18:04.355009	0		0		0		79		94		a
2019-01-11 17:18:04.513081	0		0		0		113		143		w
2019-01-11 17:18:04.669317	0		0		0		103		135		w
2019-01-11 17:18:04.824881	1		0		0		100		127		w
2019-01-11 17:18:04.979715	1		0		0		96		118		w
2019-01-11 17:18:05.134011	0		0		0		96		109		w
2019-01-11 17:18:05.287967	0		0		0		92		100		w
2019-01-11 17:18:05.441222	0		0		0		87		91		w
2019-01-11 17:18:05.593229	0		0		0		84		82		w
2019-01-11 17:18:05.744693	0		0		0		82		75		w
2019-01-11 17:18:05.895488	0		0		0		79		66		a
2019-01-11 17:18:06.045916	0		0		0		78		62		a
2019-01-11 17:18:06.197132	0		0		0		81		63		a
2019-01-11 17:18:06.352766	0		0		0		75		142		a
2019-01-11 17:18:06.507066	0		0		0		69		135		w
2019-01-11 17:18:06.660833	0		0		0		69		127		w
2019-01-11 17:18:06.814103	0		0		0		70		118		w
2019-01-11 17:18:06.966919	0		0		0		71		110		w
2019-01-11 17:18:07.119509	0		0		0		70		100		w
2019-01-11 17:18:07.271958	0		0		0		73		91		w
2019-01-11 17:18:07.423248	0		0		0		73		82		w
2019-01-11 17:18:07.574039	0		0		0		72		74		w
2019-01-11 17:18:07.730159	0		0		0		74		64		w
2019-01-11 17:18:07.880384	0		0		0		76		58		a
2019-01-11 17:18:08.031075	0		0		0		80		56		a
2019-01-11 17:18:08.180447	0		0		0		17		112		a
2019-01-11 17:18:08.334260	0		0		0		62		135		a
2019-01-11 17:18:08.488363	0		0		0		65		136		w
2019-01-11 17:18:08.642326	0		0		0		69		130		w
2019-01-11 17:18:08.807127	0		0		0		255		121		w
2019-01-11 17:18:08.965680	0		0		0		151		115		w
2019-01-11 17:18:09.120887	1		0		0		109		107		w
2019-01-11 17:18:09.274469	1		0		0		90		101		w
2019-01-11 17:18:09.430209	1		0		0		137		92		w
2019-01-11 17:18:09.583568	0		0		0		103		86		w
2019-01-11 17:18:09.737782	0		0		0		106		89		w
2019-01-11 17:18:09.893152	0		0		0		111		102		a
2019-01-11 17:18:10.050171	0		0		0		132		115		a
2019-01-11 17:18:10.203066	0		0		0		74		106		a
2019-01-11 17:18:10.356091	0		0		0		75		105		w
2019-01-11 17:18:10.512452	0		0		0		132		102		w
2019-01-11 17:18:10.668920	0		0		0		137		96		w
2019-01-11 17:18:10.821872	0		0		0		91		90		w
2019-01-11 17:18:10.976781	0		0		0		134		81		w
2019-01-11 17:18:11.129429	0		0		0		101		76		w
2019-01-11 17:18:11.282861	0		0		0		107		83		w
2019-01-11 17:18:11.436857	0		0		0		125		62		w
2019-01-11 17:18:11.668758	0		0		0		90		108		a
2019-01-11 17:18:11.820323	0		0		0		59		98		a
2019-01-11 17:18:11.971699	0		0		0		55		94		w
2019-01-11 17:18:12.122680	0		0		0		57		89		w
2019-01-11 17:18:12.273720	0		0		0		59		81		w
2019-01-11 17:18:12.424585	0		0		0		61		73		w
2019-01-11 17:18:12.574639	0		0		0		64		68		a
2019-01-11 17:18:12.733418	0		0		0		59		177		a
2019-01-11 17:18:12.889197	0		0		0		74		152		a
2019-01-11 17:18:13.044589	0		0		0		73		148		w
2019-01-11 17:18:13.200416	0		0		0		74		141		w
2019-01-11 17:18:13.355423	0		0		0		75		131		w
2019-01-11 17:18:13.509663	0		0		0		79		122		w
2019-01-11 17:18:13.663450	0		0		0		81		113		w
2019-01-11 17:18:13.816729	1		0		0		81		104		w
2019-01-11 17:18:13.969542	0		0		0		85		94		w
2019-01-11 17:18:14.123469	0		0		0		87		87		w
2019-01-11 17:18:14.275955	0		0		0		87		79		w
2019-01-11 17:18:14.427673	0		0		0		91		70		w
2019-01-11 17:18:14.579170	0		0		0		96		61		w
2019-01-11 17:18:14.730364	0		0		0		97		55		w
2019-01-11 17:18:14.881331	0		0		0		100		48		a
2019-01-11 17:18:15.038656	0		0		0		117		131		a
2019-01-11 17:18:15.196075	0		0		0		129		112		a
2019-01-11 17:18:15.348839	0		0		0		51		112		a
2019-01-11 17:18:15.510970	0		0		0		117		213		w
2019-01-11 17:18:15.667527	0		0		0		82		110		w
2019-01-11 17:18:15.823738	0		0		0		129		107		w
2019-01-11 17:18:15.983842	0		0		0		125		172		w
2019-01-11 17:18:16.139252	0		0		0		127		95		w
2019-01-11 17:18:16.377490	0		0		0		117		87		w
2019-01-11 17:18:16.531941	0		0		0		127		81		w
2019-01-11 17:18:16.687510	0		0		0		120		104		a
2019-01-11 17:18:16.841364	0		0		0		78		117		a
